game_id,season,date
1100790,2020/2021,20.09.2020
1100788,2020/2021,21.09.2020
1101194,2020/2021,25.09.2020
1101191,2020/2021,26.09.2020
1101182,2020/2021,26.09.2020
1101189,2020/2021,27.09.2020
1101185,2020/2021,28.09.2020
1101179,2020/2021,28.09.2020
1101199,2020/2021,01.10.2020
1101196,2020/2021,02.10.2020
1101208,2020/2021,02.10.2020
1101195,2020/2021,03.10.2020
1101205,2020/2021,05.10.2020
1101202,2020/2021,06.11.2020
1101219,2020/2021,09.10.2020
1101212,2020/2021,10.10.2020
1101214,2020/2021,11.10.2020
1101210,2020/2021,12.10.2020
1101218,2020/2021,05.11.2020
1101216,2020/2021,25.11.2020
1101231,2020/2021,16.10.2020
1101221,2020/2021,17.10.2020
1101229,2020/2021,19.10.2020
1101225,2020/2021,19.10.2020
1101227,2020/2021,09.11.2020
1101223,2020/2021,18.11.2020
1101233,2020/2021,24.10.2020
1101243,2020/2021,26.10.2020
1101239,2020/2021,26.10.2020
1101241,2020/2021,12.11.2020
1101237,2020/2021,18.11.2020
1101235,2020/2021,29.12.2020
1101253,2020/2021,01.11.2020
1101251,2020/2021,02.11.2020
1101249,2020/2021,02.11.2020
1101247,2020/2021,03.12.2020
1101245,2020/2021,17.12.2020
1101255,2020/2021,22.12.2020
1101263,2020/2021,06.11.2020
1101267,2020/2021,10.11.2020
1101257,2020/2021,02.12.2020
1101261,2020/2021,03.12.2020
1101259,2020/2021,09.12.2020
1101265,2020/2021,10.12.2020
1101271,2020/2021,13.11.2020
1101279,2020/2021,13.11.2020
1101273,2020/2021,14.11.2020
1101277,2020/2021,16.11.2020
1101269,2020/2021,16.11.2020
1101275,2020/2021,23.12.2020
1101283,2020/2021,20.11.2020
1101287,2020/2021,21.11.2020
1101285,2020/2021,22.11.2020
1101291,2020/2021,23.11.2020
1101281,2020/2021,23.11.2020
1101289,2020/2021,03.12.2020
1101297,2020/2021,27.11.2020
1101299,2020/2021,29.11.2020
1101177,2020/2021,30.11.2020
1101295,2020/2021,30.11.2020
1101293,2020/2021,30.11.2020
1101175,2020/2021,12.01.2021
1101186,2020/2021,05.12.2020
1101188,2020/2021,06.12.2020
1101197,2020/2021,06.12.2020
1101180,2020/2021,07.12.2020
1101192,2020/2021,07.12.2020
1101183,2020/2021,01.03.2021
1101209,2020/2021,12.12.2020
1101200,2020/2021,13.12.2020
1101211,2020/2021,14.12.2020
1101203,2020/2021,14.12.2020
1101206,2020/2021,30.12.2020
1101213,2020/2021,26.01.2021
1101224,2020/2021,18.12.2020
1101217,2020/2021,19.12.2020
1101220,2020/2021,21.12.2020
1101226,2020/2021,21.12.2020
1101215,2020/2021,06.01.2021
1101222,2020/2021,17.02.2021
1101238,2020/2021,14.10.2020
1101236,2020/2021,08.01.2021
1101232,2020/2021,08.01.2021
1101228,2020/2021,10.01.2021
1101230,2020/2021,11.01.2021
1101234,2020/2021,11.01.2021
1101244,2020/2021,30.10.2020
1101242,2020/2021,15.01.2021
1101246,2020/2021,15.01.2021
1101248,2020/2021,16.01.2021
1101250,2020/2021,18.01.2021
1101240,2020/2021,18.01.2021
1101260,2020/2021,13.11.2020
1101258,2020/2021,22.01.2021
1101252,2020/2021,24.01.2021
1101256,2020/2021,24.01.2021
1101262,2020/2021,25.01.2021
1101254,2020/2021,25.01.2021
1101272,2020/2021,27.10.2020
1101274,2020/2021,29.01.2021
